USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
alisha      2882  0.0  0.0 309316  6272 ?        Ssl  11:23   0:00 /usr/libexec/xdg-permission-store
root        2889  0.0  0.0   2712  2044 ?        Ss   11:23   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
alisha      2922  0.0  0.0 235676  6260 tty2     Ssl+ 11:23   0:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
alisha      2930  0.0  0.1 298244 16436 tty2     Sl+  11:23   0:00 /usr/libexec/gnome-session-binary --session=ubuntu
alisha      3016  0.0  0.0 162660  6932 ?        Ssl  11:23   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
alisha      3018  0.0  0.0  91556  5640 ?        Ssl  11:23   0:00 /usr/libexec/gnome-session-ctl --monitor
alisha      3036  0.0  0.0 314296  8248 ?        Ssl  11:23   0:00 /usr/libexec/gvfsd
alisha      3048  0.0  0.0 459716  7340 ?        Sl   11:23   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
alisha      3052  0.0  0.1 520716 18604 ?        Ssl  11:23   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
alisha      3122  0.0  0.0 383032  8068 ?        Sl   11:23   0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
alisha      3138  0.0  0.0   9620  5292 ?        S    11:23   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
alisha      3140  3.1  2.1 5204360 341440 ?      Ssl  11:23  22:46 /usr/bin/gnome-shell
alisha      3359  0.0  0.0 236076  7836 ?        Sl   11:23   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
alisha      3662  0.0  0.1 654872 17524 ?        Sl   11:23   0:00 /usr/libexec/gnome-shell-calendar-server
alisha      3679  0.0  0.2 1279332 42900 ?       Ssl  11:23   0:00 /usr/libexec/evolution-source-registry
alisha      3686  0.0  0.0 230500  6272 ?        Ssl  11:23   0:00 /usr/libexec/dconf-service
alisha      3727  0.0  0.1 2859232 27144 ?       Sl   11:23   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
alisha      3750  0.0  0.0 388844 12444 ?        Ssl  11:23   0:25 /usr/bin/ibus-daemon --panel disable
alisha      3753  0.0  0.0 383612  6780 ?        Ssl  11:23   0:00 /usr/libexec/gsd-a11y-settings
alisha      3758  0.0  0.1 419912 21240 ?        Ssl  11:23   0:00 /usr/libexec/gsd-color
alisha      3762  0.0  0.0 431768 12484 ?        Ssl  11:23   0:00 /usr/libexec/gsd-datetime
alisha      3766  0.0  0.0 459132  8372 ?        Ssl  11:23   0:01 /usr/libexec/gsd-housekeeping
alisha      3767  0.0  0.1 418772 20912 ?        Ssl  11:23   0:00 /usr/libexec/gsd-keyboard
alisha      3770  0.0  0.1 748632 26748 ?        Ssl  11:23   0:03 /usr/libexec/gsd-media-keys
alisha      3772  0.0  0.1 673652 27384 ?        Ssl  11:23   0:03 /usr/libexec/gsd-power
alisha      3781  0.0  0.0 323788 11724 ?        Ssl  11:23   0:00 /usr/libexec/gsd-print-notifications
alisha      3782  0.0  0.0 531092  6872 ?        Ssl  11:23   0:00 /usr/libexec/gsd-rfkill
alisha      3786  0.0  0.0 309568  6476 ?        Ssl  11:23   0:00 /usr/libexec/gsd-screensaver-proxy
alisha      3793  0.0  0.0 543548 12548 ?        Ssl  11:23   0:02 /usr/libexec/gsd-sharing
alisha      3794  0.0  0.0 385912  8432 ?        Ssl  11:23   0:00 /usr/libexec/gsd-smartcard
alisha      3798  0.0  0.0 393728  9860 ?        Ssl  11:23   0:00 /usr/libexec/gsd-sound
alisha      3801  0.0  0.1 419760 21516 ?        Ssl  11:23   0:00 /usr/libexec/gsd-wacom
alisha      3823  0.0  0.0 389656 11620 ?        Ssl  11:23   0:03 /usr/libexec/gvfs-udisks2-volume-monitor
alisha      3851  0.0  0.1 546772 24216 ?        Sl   11:23   0:00 /usr/libexec/goa-daemon
alisha      3891  0.0  0.0 305500  8396 ?        Sl   11:23   0:00 /usr/libexec/gsd-disk-utility-notify
alisha      3911  0.0  0.1 1241960 21532 ?       Sl   11:23   0:01 /home/alisha/ArduinoCloudAgent/Arduino_Cloud_Agent
alisha      3921  0.0  0.3 911404 61116 ?        Sl   11:23   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
alisha      3971  0.0  0.0 389132  9436 ?        Sl   11:23   0:00 /usr/libexec/goa-identity-service
alisha      3975  0.0  0.0 236652  7220 ?        Sl   11:23   0:00 /usr/libexec/ibus-memconf
alisha      3976  0.0  0.1 428568 30556 ?        Sl   11:23   0:09 /usr/libexec/ibus-extension-gtk3
alisha      3983  0.0  0.0 310432  7376 ?        Sl   11:23   0:00 /usr/libexec/ibus-portal
alisha      4015  0.0  0.1 1300440 24512 ?       Ssl  11:23   0:00 /usr/libexec/evolution-calendar-factory
alisha      4067  0.0  0.0 310768  7204 ?        Ssl  11:23   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
alisha      4072  0.0  0.0 416248 15220 ?        Sl   11:23   0:00 /usr/libexec/gsd-printer
alisha      4088  0.0  0.0 309800  6772 ?        Ssl  11:23   0:00 /usr/libexec/gvfs-mtp-volume-monitor
alisha      4115  0.0  0.1 825540 29964 ?        Ssl  11:23   0:00 /usr/libexec/evolution-addressbook-factory
alisha      4120  0.0  0.0 309780  6624 ?        Ssl  11:23   0:00 /usr/libexec/gvfs-goa-volume-monitor
alisha      4139  0.0  0.0 389388  8244 ?        Ssl  11:23   0:01 /usr/libexec/gvfs-afc-volume-monitor
alisha      4155  0.0  0.5 561020 85136 ?        Sl   11:23   0:01 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.WUI2U3 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
alisha      4223  0.0  0.0 237160  7816 ?        Sl   11:23   0:08 /usr/libexec/ibus-engine-simple
alisha      4441  0.0  0.0 609448  9480 ?        Sl   11:23   0:00 /usr/libexec/gvfsd-trash --spawner :1.21 /org/gtk/gvfs/exec_spaw/0
alisha      4564  0.0  0.0 628024 15088 ?        Ssl  11:23   0:01 /usr/libexec/xdg-desktop-portal
alisha      4745  0.0  0.2 889344 41912 ?        SNsl 11:23   0:19 /usr/libexec/tracker-miner-fs-3
alisha      4750  0.0  0.2 844128 42900 ?        Ssl  11:23   0:01 /usr/libexec/xdg-desktop-portal-gnome
alisha      4856  0.0  0.1 2932972 27344 ?       Sl   11:23   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
alisha      4912  0.0  0.5 794036 82188 ?        Ssl  11:23   0:00 /usr/libexec/gsd-xsettings
alisha      5007  0.0  0.1 425168 28732 ?        Ssl  11:23   0:00 /usr/libexec/xdg-desktop-portal-gtk
